47399	51884	56381	52441	36725	54096	36559	64706	38407	60342	
51702	62770	48414	54456	61204	50746	46910	43388	42579	56652	
51045	38772	38722	65439	49772	50254	54957	54597	43356	49089	
43683	36499	55349	62671	58819	55714	56436	64554	42877	45412	
38582	41842	42189	50151	50994	54876	55644	41270	50385	61586	
47389	51646	41350	47898	54482	39176	47125	57875	60418	46801	
54084	62045	42060	57993	49781	56783	42344	41116	49165	53352	
50750	47806	57420	58688	56592	39648	47024	62042	56177	48864	
60583	52823	41892	44516	36440	54640	37031	64976	40007	54152	
55444	38246	36670	49708	42392	55378	43833	60498	43235	37354	
43454	54875	61562	38821	61149	51039	56263	50881	52152	48110	
50731	39490	40837	64957	50786	57699	55116	43815	56581	51375	
58969	46110	41351	63896	65515	35778	60534	57652	36646	40019	
38266	46942	45383	62007	64927	41105	49849	41440	62939	58040	
41813	56802	55983	41960	39391	43237	54571	35639	58461	44134	
58669	58162	60421	60379	60089	40381	49678	50736	41772	50482	
38954	37019	60202	59758	44286	58478	59185	54653	65090	54506	
40618	36422	43592	51118	36783	61349	56086	63223	63749	62097	
52361	53879	40210	52877	50700	41263	56489	49477	65286	63449	
47179	55398	63129	62702	57704	37175	47883	47930	45478	59376	
52223	37173	44887	40757	58431	36702	62493	41006	60126	59890	
59104	51852	65459	58444	49049	57098	63562	63427	49884	63537	
57138	57423	57318	65456	47651	39251	35723	45779	62141	60533	
54123	57992	63908	49041	40293	48787	47274	64344	55829	44116	
36558	56358	49162	40777	48887	54422	47546	47879	41409	50210	
52751	37985	53338	63258	60297	42920	47284	54244	42138	57886	
62136	49680	58933	42626	37873	41850	55745	45454	58317	52358	
48261	37599	61505	40410	55914	46055	46187	58622	52833	51122	
40564	54076	43734	43245	57593	64131	53188	61565	42969	52688	
37558	60768	54515	63493	65511	44647	52545	39225	51352	57222	
37869	60390	53549	45694	58814	59192	44363	62723	60255	60895	
37552	47672	52150	55743	65279	47938	64681	56388	38509	52305	
47994	46646	55273	52566	61830	57810	56346	37970	56474	49200	
35724	37628	44868	59985	36299	50476	56778	64758	63101	59933	
55526	55706	46868	55879	40252	44401	55300	51180	36241	54031	
41285	53039	59995	51295	50895	46093	40249	42700	63953	63137	
43401	47055	48446	50932	65520	42259	45136	43058	37982	36996	
52765	46467	44572	39622	59769	51701	41165	53780	57716	64634	
53817	61669	62938	47259	51596	47177	52729	36013	60027	55667	
43038	58886	55906	53378	45386	57808	36444	59195	52840	49418	
37653	51222	37439	62187	60260	40194	38117	46261	42947	41699	
64068	47691	36668	37249	61449	62886	50049	63385	44203	36848	
43981	51483	54409	36015	38955	60550	57743	40375	63824	41407	
44832	44813	54684	55773	51317	53589	59846	51358	54818	49620	
38505	63752	58210	64702	61162	49613	40728	48474	40464	50186	
57614	52785	55442	59199	48742	59875	57453	57773	44696	62201	
35733	64318	35984	43070	37441	55707	41574	49744	43030	45742	
38732	40846	36140	54589	36615	57362	56244	49137	51844	52665	
51041	62134	43514	47216	62120	48142	43024	58476	37013	61277	
42510	39145	54835	35967	54864	64136	61461	42142	45366	61720
