18949	13121	23526	28292	12583	16883	18838	31724	28144	27490	
20384	22422	18892	29892	11534	25348	10041	15517	19164	28846	
11471	28587	34870	27550	21859	14244	31889	26089	19096	22823	
12620	18013	32628	30851	30761	23024	29078	33166	21594	22232	
13209	29118	14696	10086	19213	34293	14427	27211	21543	11616	
19940	30453	30189	23289	17012	28838	13955	10586	14751	12550	
18935	35114	33312	29854	23727	22641	28236	34419	12406	10827	
23381	10145	26223	10031	24116	29152	10929	34633	24962	27406	
30663	22122	24418	17899	28641	10584	30939	23774	19684	25048	
33058	28010	15259	19247	25292	34698	25600	19491	21619	34415	
18177	18326	35286	28708	19848	13166	18921	23438	34997	34733	
21605	30166	28429	32694	21896	13828	29496	16189	30659	30306	
33028	10905	16211	10955	11444	22036	20441	15187	24630	22090	
18049	34240	11299	16383	25952	28550	32584	31026	18711	22944	
21966	28672	21014	32969	25453	17835	27535	17949	25389	32502	
22169	24007	26150	17321	10985	24525	29538	16624	31655	12066	
25106	33077	12140	29031	12911	25066	30271	22035	22692	12508	
34270	24288	10279	13893	18266	18793	28570	22170	23612	11237	
32233	23347	18231	18047	33970	16176	13435	21867	11019	27563	
35270	13597	25798	14282	25739	26811	29056	18629	17142	26102	
32002	29969	29022	16335	11762	31484	18320	27403	16847	14637	
33098	21978	20567	35426	17677	24230	13311	11457	13221	27667	
15745	33158	23125	34966	13213	21583	18796	15615	20745	33836	
27552	32543	14733	14497	26339	21647	14654	19709	22085	15837	
12661	13432	20154	33073	24832	16691	20517	16298	20111	28247	
28073	10433	29526	15610	17449	23151	21407	25010	17446	21323	
27850	22073	28512	12429	27160	21363	10973	13118	30264	23280	
33588	17437	12729	18115	27816	19460	21719	24343	33078	28200	
31824	22639	12209	22302	27400	16417	35022	28778	27319	31146	
31274	20160	17721	25241	28756	32728	33729	23209	25445	26788	
14963	35242	19587	24536	16248	34917	25460	35026	13123	30927	
27336	29199	27727	10537	13792	27089	16822	34736	31882	35363	
23182	17351	31321	17059	13711	32268	23632	12531	12529	10822	
24502	22671	10038	30031	25494	19165	27480	32669	23625	21939	
11157	33095	18679	20872	18602	35128	31481	30953	26819	25005	
19118	12151	12694	11993	30760	23379	11806	23700	15309	29851	
15474	21411	18270	28317	22788	26729	27810	33613	11355	26361	
12816	10110	19335	19334	18422	23928	12808	28009	10619	22424	
11836	34469	35374	33826	15555	22013	20003	35019	16099	34069	
29645	35283	18799	31220	28276	23586	17390	30310	32177	22229	
26435	17604	13239	20485	12560	26032	27547	10397	23560	15867	
33443	30685	34932	32974	20348	26801	11629	33149	21689	27189	
25306	16024	25311	11232	21256	31440	10713	34442	34429	35295	
17558	35158	16321	34257	26335	13300	29356	30812	25817	18095	
17851	19316	33515	30096	11884	10646	17909	24322	32861	32815	
24717	30273	34274	35044	10493	13903	25931	22810	18819	11749	
12254	26948	16102	31496	11078	15955	35334	31638	16550	30336	
13041	11352	23592	29394	21447	33400	23778	20239	28940	30537	
14142	19415	16398	16289	11738	17271	24125	21483	20127	17665	
14023	10720	10102	14879	29291	26526	13288	14211	26941	18764	
21195	27960	18253	10213	33091	10239	18084	30829	10208	15686	
33868	27304	33965	17137	16516	21704	31947	13693	20094	17591	
28867	10332	10814	29232	26173	19355	31345	17350	12451	12491	
18844	12431	12430	18661	10986	24724	35080	18385	35359	14080	
30337	21582	35145	30243	22438	20394	26549	28032	24543	13515	
33329	31512	11846	11434	18508	30438	28938	22733	26942	28364	
18367	16833	26496	13825	28676	14490	13255	17997	28445	19130	
17036	14944	32393	29884	32200	29665	28869	33560	29476	31600	
28396	26444	13558	32441	34315	22009	22118	22572	21507	22276	
13705	16969	34083	12664	23637	13502	22452	17380	30773	11788
